"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"1683" 97741 "woman" 1932 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1228.05505371094 1.08987939357758 "1683"
"2105" 118991 "man" 1957 "Switzerland" "french" "Protestant or Reformed Church" "only for religious celebrations" "academic professions and senior management" "intermediate professions" 661.449279785156 0.587025761604309 "2105"
"460" 26361 "woman" 1929 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1215.27685546875 1.07853901386261 "460"
"2168" NA "man" 1939 NA NA NA NA NA NA 2353.23999023438 2.088463306427 "2168"
"801" 45571 "woman" 1952 "Switzerland" "italian" "Roman Catholic" "religious celebrations and family events" "academic professions and senior management" "unqualified non-manual and manual workers" 595.184631347656 0.528216958045959 "801"
"1162" NA "man" 1951 NA NA NA NA "qualified manual professions" NA 676.601379394531 0.600472986698151 "1162"
"1812" 103281 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" "qualified non-manual professions" 606.598571777344 0.538346648216248 "1812"
"656" 36931 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1137.92736816406 1.00989258289337 "656"
"1220" 69231 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 799.767028808594 0.70978057384491 "1220"
"1584" 90641 "woman" 1956 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 662.971496582031 0.588376700878143 "1584"
"91" 7761 "man" 1935 "Belgium" "french" "Roman Catholic" "never" NA "unqualified non-manual and manual workers" 2742.70629882812 2.43410849571228 "91"
"1768" 101171 "woman" 1936 "Switzerland" "german" NA NA "unqualified non-manual and manual workers" NA 1558.98022460938 1.38357031345367 "1768"
"2252" 127801 "man" 1954 "Spain and territories" "french" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" NA 1587.05847167969 1.40848934650421 "2252"
"2318" 132631 "woman" 1955 "Switzerland" "german" "other Christian denomination" "once a week" "other self-employed" NA 826.653564453125 0.733641982078552 "2318"
"2157" 122981 "woman" 1957 "Switzerland" "french" "Protestant or Reformed Church" "every two weeks" "intermediate professions" NA 545.627014160156 0.484235346317291 "2157"
"2334" 133431 "woman" 1953 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" NA 889.304809570312 0.789243936538696 "2334"
"2565" 146981 "man" 1954 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 1064.52368164062 0.944747924804688 "2565"
"871" NA "man" 1942 NA NA NA NA NA NA 2289.39404296875 2.0318009853363 "871"
"2440" NA "woman" 1953 NA NA NA NA "unqualified non-manual and manual workers" NA 1066.8759765625 0.946835577487946 "2440"
"214" 14151 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 626.977478027344 0.556432604789734 "214"
"620" 34731 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1525.92614746094 1.35423529148102 "620"
"422" 24881 "man" 1940 "Switzerland" NA NA NA NA NA 2420.603515625 2.14824748039246 "422"
"1436" 82361 "woman" 1934 "Switzerland" NA NA NA NA NA 2159.16967773438 1.91622889041901 "1436"
"1463" 83131 "woman" 1952 "Switzerland" "german" "no denomination or religion" "never" NA "academic professions and senior management" 890.78076171875 0.79055380821228 "1463"
"496" 28041 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "qualified manual professions" 1189.98034667969 1.05608880519867 "496"
"2085" 117631 "man" 1939 "Spain and territories" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 1961.26013183594 1.74058735370636 "2085"
"1268" 71931 "woman" 1950 "Switzerland" "german" NA NA "unqualified non-manual and manual workers" NA 1065.05847167969 0.945222556591034 "1268"
"319" 19251 "man" 1926 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 847.02978515625 0.751725554466248 "319"
"66" 6571 "woman" 1929 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "top management" NA 1185.92468261719 1.05248939990997 "66"
"165" 12011 "man" 1954 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 587.962585449219 0.521807551383972 "165"
"1255" 71421 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "qualified manual professions" NA 984.538146972656 0.873762011528015 "1255"
"2245" 127211 "man" 1935 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "academic professions and senior management" NA 828.819458007812 0.735564172267914 "2245"
"2038" 115331 "woman" 1930 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1295.96472167969 1.15014827251434 "2038"
"169" 12101 "woman" 1940 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 870.320068359375 0.772395312786102 "169"
"825" NA "woman" 1928 NA NA NA NA "unqualified non-manual and manual workers" NA 2515.69067382812 2.23263573646545 "825"
"2332" 133421 "woman" 1955 "Switzerland" NA NA NA "intermediate professions" "qualified non-manual professions" 858.488647460938 0.76189512014389 "2332"
"1081" 60871 "woman" 1917 "Switzerland" "french" "Protestant or Reformed Church" "about once a month" "other self-employed" "other self-employed" 1644.97290039062 1.45988750457764 "1081"
"4" 3051 "man" 1957 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified non-manual professions" NA 826.349182128906 0.73337185382843 "4"
"1045" 59061 "man" 1928 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 1016.57873535156 0.902197539806366 "1045"
"2451" 141191 "woman" 1940 "Switzerland" "german" "no denomination or religion" "a few times a year" "other self-employed" "other self-employed" 1206.54614257812 1.07079064846039 "2451"
"52" 5841 "man" 1953 "Switzerland" "french" "Roman Catholic" "never" "academic professions and senior management" NA 642.37939453125 0.57010155916214 "52"
"796" 45421 "man" 1931 "Switzerland" "italian" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 755.563293457031 0.670550465583801 "796"
"2387" 137041 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1037.58654785156 0.920841634273529 "2387"
"1386" NA "man" 1918 NA NA NA NA "other self-employed" NA 1190.37023925781 1.05643475055695 "1386"
"1459" 82961 "man" 1948 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "liberal professions" NA 1228.77404785156 1.09051752090454 "1459"
"1887" 106881 "man" 1956 "Switzerland" "german" "Protestant or Reformed Church" "never" NA NA 864.880615234375 0.767567873001099 "1887"
"1457" 82941 "man" 1933 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified non-manual professions" NA 855.433898925781 0.759184062480927 "1457"
"485" 27681 "woman" 1918 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1462.50708007812 1.29795181751251 "485"
"735" 41941 "man" 1929 "Netherlands and territories" "german" "no answer" "only for family ceremonies" "unqualified non-manual and manual workers" NA 2494.08056640625 2.21345710754395 "735"
"2393" 137261 "man" 1946 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 867.421813964844 0.769823133945465 "2393"
"310" 18931 "woman" 1948 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1078.697265625 0.957326829433441 "310"
"2285" 130101 "woman" 1942 "Germany" "german" "Roman Catholic" "every two weeks" "qualified manual professions" "qualified manual professions" 1924.17822265625 1.70767784118652 "2285"
"1432" 82281 "woman" 1939 "Switzerland" "german" "no denomination or religion" "never" "liberal professions" NA 1238.54931640625 1.0991929769516 "1432"
"511" 28551 "man" 1935 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" "academic professions and senior management" 914.340270996094 0.811462581157684 "511"
"1383" 78901 "woman" 1955 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA "qualified non-manual professions" 839.351623535156 0.744911313056946 "1383"
"1828" 104291 "man" 1952 "Germany" "german" "other" "a few times a year" "other self-employed" "intermediate professions" 1343.53210449219 1.19236350059509 "1828"
"2074" 117401 "woman" 1937 "France and territories" "french" "no denomination or religion" "only for family ceremonies" "qualified non-manual professions" "academic professions and senior management" 2123.71508789062 1.88476359844208 "2074"
"46" 5391 "man" 1944 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" "qualified manual professions" 784.836486816406 0.696529984474182 "46"
"1815" 103701 "man" 1945 "Switzerland" NA NA NA NA NA 2017.17199707031 1.79020833969116 "1815"
"2146" 122331 "man" 1953 "Switzerland" "french" "no denomination or religion" "a few times a year" NA NA 587.962585449219 0.521807551383972 "2146"
"864" 48721 "man" 1954 "Switzerland" "french" "other" "only for family ceremonies" "academic professions and senior management" NA 698.259399414062 0.619694173336029 "864"
"855" 48131 "woman" 1947 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1037.29125976562 0.920579612255096 "855"
"841" 47521 "woman" 1956 "Switzerland" "french" "other" "several times a week" "other self-employed" "other self-employed" 690.761169433594 0.613039612770081 "841"
"1244" 70841 "woman" 1933 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "qualified manual professions" NA 1034.06530761719 0.917716562747955 "1244"
"2096" 118141 "woman" 1955 "Switzerland" "french" "Roman Catholic" "religious celebrations and family events" NA NA 632.657836914062 0.561473786830902 "2096"
"177" 12631 "woman" 1948 "Switzerland" "german" "Roman Catholic" "a few times a year" "top management" NA 627.218383789062 0.556646406650543 "177"
"299" 18351 "woman" 1938 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1344.19604492188 1.19295275211334 "299"
"2098" NA "woman" 1919 NA NA NA NA "intermediate professions" NA 2572.58715820312 2.28313040733337 "2098"
"1678" 96571 "woman" 1929 "Switzerland" "italian" "Roman Catholic" "once a week" "other self-employed" NA 1137.88110351562 1.00985157489777 "1678"
"2319" 132671 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "qualified non-manual professions" 1086.03515625 0.963839054107666 "2319"
"2154" 122751 "woman" 1927 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "qualified non-manual professions" NA 1026.0224609375 0.910578727722168 "2154"
"951" 54161 "woman" 1943 "Switzerland" "french" "Roman Catholic" "several times a week" "other self-employed" "other self-employed" 988.917297363281 0.87764847278595 "951"
"213" 14121 "woman" 1925 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "other self-employed" NA 920.444091796875 0.816879570484161 "213"
"1577" NA "man" 1954 NA NA NA NA "other self-employed" NA 783.928466796875 0.695724129676819 "1577"
"201" 13571 "man" 1952 "Switzerland" "french" "Muslim" "never" "qualified manual professions" NA 977.791442871094 0.867774486541748 "201"
"2439" 140501 "woman" 1956 "Switzerland" "german" "no denomination or religion" "a few times a year" "intermediate professions" NA 740.346313476562 0.657045662403107 "2439"
"13" 3411 "man" 1947 "Portugual" "french" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 1695.55883789062 1.50478172302246 "13"
"2584" 147971 "man" 1933 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 981.385986328125 0.870964527130127 "2584"
"62" 6471 "man" 1954 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 810.697937011719 0.719481587409973 "62"
"475" 26891 "woman" 1955 "Switzerland" "german" "Roman Catholic" "a few times a year" "academic professions and senior management" NA 755.120971679688 0.670157909393311 "475"
"824" NA "man" 1926 NA NA NA NA "other self-employed" "other self-employed" 5095.7138671875 4.5223650932312 "824"
"971" 55271 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" "intermediate professions" 1868.14086914062 1.65794551372528 "971"
"2491" 143361 "man" 1942 "Switzerland" "german" "Roman Catholic" "every two weeks" "intermediate professions" "qualified manual professions" 862.412231445312 0.765377223491669 "2491"
